# Time(ps)    MSD_22.almtp(A^2)    MSD_pruned_1(A^2)    MSD_pruned_2(A^2)    MSD_pruned_3(A^2)
     52.2000       0.0512       0.0484       0.0505       0.0465
     52.3000       0.0476       0.0541       0.0472       0.0577
     52.4000       0.0473       0.0533       0.0521       0.0443
     52.5000       0.0469       0.0512       0.0586       0.0430
     52.6000       0.0458       0.0487       0.0522       0.0412
     52.7000       0.0538       0.0528       0.0475       0.0548
     52.8000       0.0522       0.0454       0.0479       0.0478
     52.9000       0.0460       0.0516       0.0523       0.0466
     53.0000       0.0411       0.0607       0.0582       0.0453
     53.1000       0.0455       0.0512       0.0520       0.0490
     53.2000       0.0493       0.0486       0.0470       0.0476
     53.3000       0.0535       0.0495       0.0516       0.0478
     53.4000       0.0470       0.0580       0.0480       0.0380
     53.5000       0.0501       0.0556       0.0558       0.0561
     53.6000       0.0523       0.0566       0.0552       0.0391
     53.7000       0.0459       0.0569       0.0447       0.0465
     53.8000       0.0502       0.0509       0.0470       0.0540
     53.9000       0.0463       0.0515       0.0494       0.0520
     54.0000       0.0582       0.0543       0.0561       0.0386
     54.1000       0.0481       0.0516       0.0535       0.0468
     54.2000       0.0624       0.0543       0.0512       0.0465
     54.3000       0.0533       0.0535       0.0487       0.0525
     54.4000       0.0568       0.0447       0.0456       0.0458
     54.5000       0.0458       0.0485       0.0547       0.0463
     54.6000       0.0512       0.0529       0.0563       0.0512
     54.7000       0.0497       0.0526       0.0453       0.0459
     54.8000       0.0596       0.0513       0.0495       0.0587
     54.9000       0.0510       0.0539       0.0501       0.0450
     55.0000       0.0517       0.0450       0.0515       0.0444
     55.1000       0.0438       0.0453       0.0543       0.0530
     55.2000       0.0463       0.0488       0.0415       0.0463
     55.3000       0.0407       0.0530       0.0482       0.0582
     55.4000       0.0470       0.0552       0.0505       0.0506
     55.5000       0.0534       0.0433       0.0564       0.0507
     55.6000       0.0571       0.0510       0.0530       0.0414
     55.7000       0.0514       0.0626       0.0445       0.0559
     55.8000       0.0534       0.0557       0.0488       0.0373
     55.9000       0.0494       0.0524       0.0510       0.0529
     56.0000       0.0504       0.0460       0.0672       0.0468
     56.1000       0.0555       0.0488       0.0531       0.0465
     56.2000       0.0483       0.0532       0.0602       0.0446
     56.3000       0.0463       0.0607       0.0469       0.0480
     56.4000       0.0378       0.0655       0.0481       0.0492
     56.5000       0.0483       0.0612       0.0537       0.0449
     56.6000       0.0550       0.0721       0.0510       0.0462
     56.7000       0.0548       0.0558       0.0534       0.0501
     56.8000       0.0667       0.0628       0.0466       0.0480
     56.9000       0.0449       0.0722       0.0577       0.0453
     57.0000       0.0495       0.0490       0.0458       0.0458
     57.1000       0.0471       0.0527       0.0504       0.0480
     57.2000       0.0625       0.0521       0.0614       0.0518
     57.3000       0.0530       0.0589       0.0508       0.0423
     57.4000       0.0453       0.0580       0.0508       0.0541
     57.5000       0.0527       0.0580       0.0482       0.0510
     57.6000       0.0551       0.0534       0.0434       0.0514
     57.7000       0.0537       0.0555       0.0436       0.0448
     57.8000       0.0498       0.0465       0.0478       0.0590
     57.9000       0.0457       0.0586       0.0553       0.0486
     58.0000       0.0492       0.0718       0.0497       0.0463
     58.1000       0.0454       0.0722       0.0456       0.0434
     58.2000       0.0488       0.0529       0.0440       0.0474
     58.3000       0.0451       0.0547       0.0555       0.0438
     58.4000       0.0450       0.0460       0.0476       0.0432
     58.5000       0.0431       0.0613       0.0511       0.0515
     58.6000       0.0480       0.0620       0.0436       0.0516
     58.7000       0.0486       0.0540       0.0464       0.0500
     58.8000       0.0409       0.0617       0.0418       0.0432
     58.9000       0.0533       0.0564       0.0449       0.0437
     59.0000       0.0443       0.0576       0.0534       0.0493
     59.1000       0.0474       0.0499       0.0453       0.0473
     59.2000       0.0448       0.0506       0.0443       0.0484
     59.3000       0.0484       0.0500       0.0426       0.0487
     59.4000       0.0511       0.0502       0.0464       0.0674
     59.5000       0.0502       0.0462       0.0479       0.0518
     59.6000       0.0430       0.0460       0.0520       0.0420
     59.7000       0.0420       0.0594       0.0427       0.0444
     59.8000       0.0468       0.0497       0.0490       0.0496
     59.9000       0.0514       0.0461       0.0566       0.0454
     60.0000       0.0573       0.0517       0.0534       0.0511
     60.1000       0.0438       0.0530       0.0565       0.0505
     60.2000       0.0480       0.0549       0.0513       0.0455
     60.3000       0.0450       0.0550       0.0525       0.0431
     60.4000       0.0604       0.0468       0.0463       0.0471
     60.5000       0.0604       0.0523       0.0602       0.0545
     60.6000       0.0643       0.0453       0.0535       0.0419
     60.7000       0.0443       0.0553       0.0445       0.0430
     60.8000       0.0519       0.0573       0.0539       0.0502
     60.9000       0.0499       0.0536       0.0522       0.0509
     61.0000       0.0493       0.0450       0.0608       0.0552
     61.1000       0.0444       0.0489       0.0466       0.0445
     61.2000       0.0508       0.0520       0.0506       0.0456
     61.3000       0.0468       0.0496       0.0475       0.0453
     61.4000       0.0510       0.0563       0.0539       0.0538
     61.5000       0.0523       0.0481       0.0494       0.0511
     61.6000       0.0530       0.0503       0.0606       0.0462
     61.7000       0.0572       0.0542       0.0466       0.0444
     61.8000       0.0485       0.0468       0.0548       0.0605
     61.9000       0.0486       0.0561       0.0546       0.0545
     62.0000       0.0468       0.0481       0.0564       0.0531
     62.1000       0.0545       0.0503       0.0568       0.0542
     62.2000       0.0457       0.0527       0.0559       0.0475
     62.3000       0.0548       0.0449       0.0510       0.0615
     62.4000       0.0510       0.0534       0.0559       0.0481
     62.5000       0.0452       0.0497       0.0474       0.0523
     62.6000       0.0479       0.0507       0.0482       0.0564
     62.7000       0.0457       0.0560       0.0554       0.0510
     62.8000       0.0448       0.0492       0.0513       0.0457
     62.9000       0.0444       0.0570       0.0517       0.0470
     63.0000       0.0457       0.0615       0.0530       0.0529
     63.1000       0.0471       0.0587       0.0449       0.0502
     63.2000       0.0445       0.0532       0.0527       0.0530
     63.3000       0.0488       0.0444       0.0531       0.0499
     63.4000       0.0451       0.0548       0.0541       0.0432
     63.5000       0.0468       0.0541       0.0443       0.0531
     63.6000       0.0439       0.0542       0.0549       0.0496
     63.7000       0.0510       0.0510       0.0532       0.0640
     63.8000       0.0433       0.0529       0.0545       0.0491
     63.9000       0.0458       0.0495       0.0509       0.0521
     64.0000       0.0495       0.0617       0.0469       0.0502
     64.1000       0.0448       0.0597       0.0528       0.0583
     64.2000       0.0468       0.0520       0.0506       0.0425
     64.3000       0.0392       0.0557       0.0556       0.0419
     64.4000       0.0498       0.0518       0.0511       0.0563
     64.5000       0.0435       0.0479       0.0521       0.0451
     64.6000       0.0498       0.0581       0.0520       0.0534
     64.7000       0.0468       0.0632       0.0508       0.0508
     64.8000       0.0517       0.0518       0.0463       0.0442
     64.9000       0.0557       0.0512       0.0506       0.0473
     65.0000       0.0586       0.0526       0.0521       0.0514
     65.1000       0.0523       0.0432       0.0491       0.0461
     65.2000       0.0475       0.0610       0.0629       0.0512
     65.3000       0.0424       0.0625       0.0478       0.0434
     65.4000       0.0486       0.0481       0.0553       0.0490
     65.5000       0.0511       0.0493       0.0502       0.0460
     65.6000       0.0496       0.0555       0.0535       0.0485
     65.7000       0.0420       0.0466       0.0629       0.0458
     65.8000       0.0447       0.0606       0.0510       0.0441
     65.9000       0.0513       0.0577       0.0571       0.0468
     66.0000       0.0478       0.0558       0.0526       0.0539
     66.1000       0.0464       0.0605       0.0587       0.0432
     66.2000       0.0472       0.0581       0.0520       0.0459
     66.3000       0.0422       0.0653       0.0524       0.0482
     66.4000       0.0463       0.0672       0.0499       0.0516
     66.5000       0.0495       0.0597       0.0545       0.0413
     66.6000       0.0515       0.0568       0.0482       0.0542
     66.7000       0.0492       0.0533       0.0547       0.0472
     66.8000       0.0452       0.0504       0.0548       0.0560
     66.9000       0.0447       0.0579       0.0525       0.0461
     67.0000       0.0502       0.0538       0.0528       0.0420
     67.1000       0.0486       0.0578       0.0515       0.0511
     67.2000       0.0485       0.0633       0.0459       0.0536
     67.3000       0.0525       0.0609       0.0581       0.0637
     67.4000       0.0479       0.0536       0.0511       0.0413
     67.5000       0.0415       0.0580       0.0641       0.0455
     67.6000       0.0443       0.0640       0.0464       0.0496
     67.7000       0.0474       0.0460       0.0507       0.0431
     67.8000       0.0471       0.0551       0.0613       0.0535
     67.9000       0.0518       0.0623       0.0473       0.0405
     68.0000       0.0457       0.0593       0.0601       0.0529
     68.1000       0.0427       0.0684       0.0529       0.0433
     68.2000       0.0458       0.0610       0.0501       0.0514
     68.3000       0.0512       0.0628       0.0577       0.0492
     68.4000       0.0537       0.0494       0.0480       0.0431
     68.5000       0.0426       0.0637       0.0605       0.0498
     68.6000       0.0376       0.0577       0.0498       0.0404
     68.7000       0.0519       0.0595       0.0519       0.0531
     68.8000       0.0568       0.0507       0.0521       0.0460
     68.9000       0.0514       0.0526       0.0531       0.0546
     69.0000       0.0479       0.0611       0.0495       0.0485
     69.1000       0.0472       0.0650       0.0481       0.0678
     69.2000       0.0346       0.0599       0.0534       0.0488
     69.3000       0.0559       0.0574       0.0547       0.0455
     69.4000       0.0501       0.0557       0.0513       0.0447
     69.5000       0.0476       0.0573       0.0490       0.0447
     69.6000       0.0478       0.0612       0.0525       0.0518
     69.7000       0.0462       0.0619       0.0491       0.0552
     69.8000       0.0530       0.0608       0.0509       0.0551
     69.9000       0.0549       0.0527       0.0512       0.0437
     70.0000       0.0478       0.0567       0.0509       0.0468
     70.1000       0.0500       0.0607       0.0498       0.0425
     70.2000       0.0461       0.0518       0.0550       0.0423
     70.3000       0.0583       0.0516       0.0550       0.0507
     70.4000       0.0635       0.0577       0.0502       0.0531
     70.5000       0.0519       0.0504       0.0478       0.0492
     70.6000       0.0487       0.0566       0.0436       0.0445
     70.7000       0.0445       0.0586       0.0515       0.0514
     70.8000       0.0513       0.0592       0.0532       0.0408
     70.9000       0.0521       0.0501       0.0520       0.0492
     71.0000       0.0550       0.0509       0.0470       0.0487
     71.1000       0.0532       0.0559       0.0544       0.0503
     71.2000       0.0562       0.0496       0.0497       0.0486
     71.3000       0.0485       0.0607       0.0471       0.0413
     71.4000       0.0628       0.0565       0.0482       0.0541
     71.5000       0.0563       0.0552       0.0519       0.0487
     71.6000       0.0474       0.0507       0.0491       0.0518
     71.7000       0.0576       0.0425       0.0532       0.0538
     71.8000       0.0523       0.0522       0.0441       0.0413
     71.9000       0.0615       0.0540       0.0589       0.0516
     72.0000       0.0442       0.0637       0.0470       0.0454
     72.1000       0.0540       0.0549       0.0504       0.0443
     72.2000       0.0509       0.0610       0.0458       0.0469
     72.3000       0.0530       0.0500       0.0419       0.0526
     72.4000       0.0583       0.0495       0.0527       0.0464
     72.5000       0.0493       0.0547       0.0437       0.0466
     72.6000       0.0524       0.0528       0.0521       0.0515
     72.7000       0.0476       0.0538       0.0526       0.0408
     72.8000       0.0521       0.0546       0.0445       0.0492
     72.9000       0.0497       0.0594       0.0501       0.0446
     73.0000       0.0511       0.0560       0.0487       0.0533
     73.1000       0.0515       0.0545       0.0531       0.0413
     73.2000       0.0485       0.0489       0.0475       0.0451
     73.3000       0.0461       0.0470       0.0534       0.0472
     73.4000       0.0569       0.0479       0.0445       0.0497
     73.5000       0.0446       0.0509       0.0508       0.0506
     73.6000       0.0552       0.0538       0.0521       0.0434
     73.7000       0.0555       0.0492       0.0541       0.0496
     73.8000       0.0450       0.0468       0.0514       0.0485
     73.9000       0.0526       0.0555       0.0480       0.0464
     74.0000       0.0496       0.0578       0.0579       0.0467
     74.1000       0.0524       0.0504       0.0432       0.0481
     74.2000       0.0546       0.0536       0.0536       0.0470
     74.3000       0.0582       0.0542       0.0526       0.0429
     74.4000       0.0561       0.0606       0.0670       0.0470
     74.5000       0.0611       0.0557       0.0514       0.0433
     74.6000       0.0557       0.0568       0.0536       0.0379
     74.7000       0.0515       0.0621       0.0492       0.0527
     74.8000       0.0513       0.0535       0.0569       0.0398
     74.9000       0.0520       0.0630       0.0505       0.0370
     75.0000       0.0572       0.0570       0.0467       0.0476
     75.1000       0.0556       0.0598       0.0559       0.0472
     75.2000       0.0456       0.0455       0.0491       0.0424
     75.3000       0.0502       0.0548       0.0501       0.0416
     75.4000       0.0589       0.0592       0.0504       0.0430
     75.5000       0.0519       0.0590       0.0476       0.0494
     75.6000       0.0494       0.0598       0.0472       0.0425
     75.7000       0.0531       0.0469       0.0524       0.0467
     75.8000       0.0521       0.0525       0.0510       0.0390
     75.9000       0.0512       0.0537       0.0514       0.0384
     76.0000       0.0545       0.0545       0.0505       0.0424
     76.1000       0.0493       0.0560       0.0468       0.0398
     76.2000       0.0486       0.0532       0.0510       0.0420
     76.3000       0.0559       0.0477       0.0485       0.0398
     76.4000       0.0642       0.0486       0.0460       0.0371
     76.5000       0.0561       0.0472       0.0597       0.0431
     76.6000       0.0560       0.0480       0.0469       0.0454
     76.7000       0.0485       0.0538       0.0560       0.0371
     76.8000       0.0546       0.0548       0.0500       0.0438
     76.9000       0.0612       0.0491       0.0452       0.0436
     77.0000       0.0518       0.0576       0.0527       0.0400
     77.1000       0.0524       0.0487       0.0463       0.0501
     77.2000       0.0517       0.0478       0.0591       0.0399
     77.3000       0.0437       0.0681       0.0484       0.0467
     77.4000       0.0539       0.0562       0.0491       0.0424
     77.5000       0.0637       0.0571       0.0519       0.0468
     77.6000       0.0476       0.0529       0.0447       0.0448
     77.7000       0.0596       0.0506       0.0533       0.0432
     77.8000       0.0482       0.0535       0.0498       0.0376
     77.9000       0.0521       0.0525       0.0495       0.0427
     78.0000       0.0526       0.0565       0.0486       0.0458
     78.1000       0.0596       0.0526       0.0505       0.0419
     78.2000       0.0413       0.0491       0.0480       0.0409
     78.3000       0.0428       0.0467       0.0523       0.0437
     78.4000       0.0471       0.0465       0.0478       0.0472
     78.5000       0.0529       0.0502       0.0553       0.0455
     78.6000       0.0538       0.0481       0.0483       0.0434
     78.7000       0.0464       0.0511       0.0544       0.0505
     78.8000       0.0450       0.0484       0.0459       0.0474
     78.9000       0.0451       0.0513       0.0493       0.0441
     79.0000       0.0599       0.0524       0.0505       0.0401
     79.1000       0.0631       0.0514       0.0541       0.0458
     79.2000       0.0698       0.0517       0.0500       0.0423
     79.3000       0.0582       0.0509       0.0489       0.0449
     79.4000       0.0500       0.0544       0.0460       0.0459
     79.5000       0.0524       0.0507       0.0520       0.0449
     79.6000       0.0479       0.0471       0.0531       0.0395
     79.7000       0.0544       0.0469       0.0449       0.0442
     79.8000       0.0517       0.0424       0.0473       0.0465
     79.9000       0.0494       0.0454       0.0469       0.0378
     80.0000       0.0509       0.0554       0.0490       0.0512
     80.1000       0.0509       0.0536       0.0475       0.0521
     80.2000       0.0505       0.0503       0.0420       0.0584
     80.3000       0.0525       0.0469       0.0578       0.0371
     80.4000       0.0538       0.0583       0.0450       0.0429
     80.5000       0.0421       0.0461       0.0512       0.0465
     80.6000       0.0495       0.0527       0.0477       0.0418
     80.7000       0.0491       0.0514       0.0481       0.0425
     80.8000       0.0647       0.0537       0.0457       0.0473
     80.9000       0.0612       0.0531       0.0468       0.0436
     81.0000       0.0616       0.0518       0.0496       0.0440
     81.1000       0.0453       0.0492       0.0499       0.0470
     81.2000       0.0433       0.0547       0.0444       0.0514
     81.3000       0.0515       0.0487       0.0509       0.0391
     81.4000       0.0530       0.0505       0.0479       0.0457
     81.5000       0.0441       0.0500       0.0518       0.0446
     81.6000       0.0504       0.0563       0.0483       0.0435
     81.7000       0.0525       0.0500       0.0512       0.0455
     81.8000       0.0547       0.0515       0.0461       0.0392
     81.9000       0.0538       0.0466       0.0480       0.0483
     82.0000       0.0531       0.0520       0.0497       0.0472
     82.1000       0.0612       0.0542       0.0472       0.0432
     82.2000       0.0488       0.0576       0.0426       0.0448
     82.3000       0.0593       0.0515       0.0585       0.0407
     82.4000       0.0771       0.0516       0.0529       0.0490
     82.5000       0.0601       0.0433       0.0484       0.0486
     82.6000       0.0543       0.0529       0.0476       0.0407
     82.7000       0.0535       0.0548       0.0457       0.0562
     82.8000       0.0651       0.0513       0.0484       0.0432
     82.9000       0.0638       0.0487       0.0507       0.0440
     83.0000       0.0651       0.0515       0.0509       0.0502
     83.1000       0.0574       0.0575       0.0463       0.0443
     83.2000       0.0535       0.0623       0.0504       0.0488
     83.3000       0.0463       0.0652       0.0490       0.0448
     83.4000       0.0608       0.0534       0.0513       0.0509
     83.5000       0.0646       0.0615       0.0524       0.0459
     83.6000       0.0557       0.0500       0.0477       0.0449
     83.7000       0.0510       0.0532       0.0476       0.0427
     83.8000       0.0542       0.0583       0.0570       0.0511
     83.9000       0.0523       0.0557       0.0465       0.0471
     84.0000       0.0472       0.0557       0.0458       0.0475
     84.1000       0.0486       0.0525       0.0538       0.0455
     84.2000       0.0479       0.0608       0.0470       0.0448
     84.3000       0.0499       0.0592       0.0493       0.0472
     84.4000       0.0448       0.0630       0.0476       0.0413
     84.5000       0.0520       0.0547       0.0469       0.0533
     84.6000       0.0636       0.0634       0.0546       0.0434
     84.7000       0.0570       0.0520       0.0476       0.0523
     84.8000       0.0548       0.0674       0.0462       0.0439
     84.9000       0.0506       0.0547       0.0531       0.0498
     85.0000       0.0536       0.0506       0.0479       0.0465
     85.1000       0.0422       0.0630       0.0502       0.0441
     85.2000       0.0533       0.0612       0.0426       0.0536
     85.3000       0.0515       0.0506       0.0522       0.0440
     85.4000       0.0490       0.0544       0.0487       0.0484
     85.5000       0.0448       0.0556       0.0427       0.0457
     85.6000       0.0548       0.0606       0.0473       0.0642
     85.7000       0.0442       0.0506       0.0559       0.0518
     85.8000       0.0460       0.0629       0.0561       0.0478
     85.9000       0.0493       0.0522       0.0498       0.0452
     86.0000       0.0465       0.0596       0.0440       0.0468
     86.1000       0.0555       0.0584       0.0487       0.0396
     86.2000       0.0565       0.0634       0.0533       0.0451
     86.3000       0.0420       0.0692       0.0553       0.0487
     86.4000       0.0425       0.0659       0.0446       0.0543
     86.5000       0.0484       0.0609       0.0469       0.0467
     86.6000       0.0591       0.0538       0.0467       0.0488
     86.7000       0.0634       0.0586       0.0511       0.0436
     86.8000       0.0477       0.0542       0.0539       0.0405
     86.9000       0.0451       0.0529       0.0382       0.0485
     87.0000       0.0511       0.0598       0.0477       0.0508
     87.1000       0.0504       0.0667       0.0476       0.0535
     87.2000       0.0670       0.0492       0.0489       0.0493
     87.3000       0.0489       0.0477       0.0518       0.0536
     87.4000       0.0550       0.0564       0.0493       0.0496
     87.5000       0.0493       0.0558       0.0440       0.0513
     87.6000       0.0441       0.0527       0.0579       0.0458
     87.7000       0.0522       0.0501       0.0527       0.0438
     87.8000       0.0563       0.0617       0.0536       0.0411
     87.9000       0.0406       0.0551       0.0460       0.0477
     88.0000       0.0390       0.0568       0.0510       0.0519
     88.1000       0.0454       0.0542       0.0558       0.0386
     88.2000       0.0489       0.0547       0.0499       0.0491
     88.3000       0.0514       0.0505       0.0472       0.0521
     88.4000       0.0505       0.0535       0.0491       0.0424
     88.5000       0.0479       0.0558       0.0491       0.0432
     88.6000       0.0435       0.0560       0.0541       0.0469
     88.7000       0.0419       0.0590       0.0422       0.0534
     88.8000       0.0476       0.0540       0.0479       0.0582
     88.9000       0.0556       0.0408       0.0488       0.0500
     89.0000       0.0470       0.0538       0.0496       0.0445
     89.1000       0.0439       0.0524       0.0565       0.0382
     89.2000       0.0447       0.0603       0.0442       0.0489
     89.3000       0.0505       0.0543       0.0496       0.0543
     89.4000       0.0412       0.0591       0.0489       0.0535
     89.5000       0.0431       0.0498       0.0566       0.0456
     89.6000       0.0488       0.0516       0.0507       0.0456
     89.7000       0.0455       0.0600       0.0465       0.0453
     89.8000       0.0546       0.0585       0.0494       0.0442
     89.9000       0.0483       0.0511       0.0501       0.0531
     90.0000       0.0467       0.0534       0.0527       0.0468
     90.1000       0.0391       0.0624       0.0511       0.0485
     90.2000       0.0434       0.0488       0.0513       0.0481
     90.3000       0.0538       0.0624       0.0572       0.0450
     90.4000       0.0501       0.0541       0.0462       0.0438
     90.5000       0.0454       0.0541       0.0498       0.0500
     90.6000       0.0435       0.0520       0.0559       0.0517
     90.7000       0.0442       0.0515       0.0480       0.0541
     90.8000       0.0453       0.0564       0.0445       0.0463
     90.9000       0.0456       0.0542       0.0516       0.0425
     91.0000       0.0518       0.0595       0.0511       0.0476
     91.1000       0.0464       0.0520       0.0554       0.0445
     91.2000       0.0525       0.0498       0.0424       0.0508
     91.3000       0.0409       0.0608       0.0541       0.0436
     91.4000       0.0470       0.0717       0.0547       0.0484
     91.5000       0.0458       0.0568       0.0585       0.0512
     91.6000       0.0459       0.0544       0.0515       0.0503
     91.7000       0.0459       0.0485       0.0625       0.0427
     91.8000       0.0474       0.0548       0.0531       0.0428
     91.9000       0.0438       0.0614       0.0616       0.0543
     92.0000       0.0432       0.0695       0.0471       0.0477
     92.1000       0.0510       0.0650       0.0528       0.0503
     92.2000       0.0497       0.0526       0.0541       0.0466
     92.3000       0.0487       0.0513       0.0471       0.0576
     92.4000       0.0433       0.0552       0.0555       0.0460
     92.5000       0.0486       0.0708       0.0508       0.0505
     92.6000       0.0478       0.0659       0.0496       0.0418
     92.7000       0.0482       0.0542       0.0484       0.0499
     92.8000       0.0491       0.0524       0.0491       0.0487
     92.9000       0.0427       0.0643       0.0550       0.0498
     93.0000       0.0504       0.0601       0.0481       0.0417
     93.1000       0.0562       0.0699       0.0471       0.0449
     93.2000       0.0467       0.0600       0.0518       0.0479
     93.3000       0.0539       0.0611       0.0600       0.0506
     93.4000       0.0452       0.0588       0.0477       0.0415
     93.5000       0.0473       0.0539       0.0553       0.0425
     93.6000       0.0509       0.0517       0.0416       0.0531
     93.7000       0.0483       0.0600       0.0520       0.0455
     93.8000       0.0584       0.0597       0.0490       0.0543
     93.9000       0.0566       0.0508       0.0526       0.0521
     94.0000       0.0483       0.0525       0.0510       0.0453
     94.1000       0.0467       0.0581       0.0449       0.0441
     94.2000       0.0444       0.0585       0.0446       0.0431
     94.3000       0.0458       0.0515       0.0528       0.0510
     94.4000       0.0541       0.0490       0.0514       0.0540
     94.5000       0.0491       0.0596       0.0496       0.0461
     94.6000       0.0528       0.0610       0.0455       0.0470
     94.7000       0.0405       0.0603       0.0532       0.0446
     94.8000       0.0435       0.0575       0.0482       0.0478
     94.9000       0.0538       0.0517       0.0546       0.0378
     95.0000       0.0461       0.0539       0.0452       0.0489
     95.1000       0.0509       0.0580       0.0462       0.0557
     95.2000       0.0416       0.0590       0.0438       0.0491
     95.3000       0.0492       0.0580       0.0513       0.0372
     95.4000       0.0470       0.0575       0.0522       0.0466
     95.5000       0.0607       0.0486       0.0490       0.0534
     95.6000       0.0536       0.0481       0.0517       0.0404
     95.7000       0.0674       0.0549       0.0414       0.0536
     95.8000       0.0546       0.0632       0.0508       0.0480
     95.9000       0.0466       0.0617       0.0520       0.0484
     96.0000       0.0517       0.0541       0.0422       0.0402
     96.1000       0.0494       0.0587       0.0429       0.0482
     96.2000       0.0468       0.0445       0.0475       0.0560
     96.3000       0.0469       0.0474       0.0541       0.0464
     96.4000       0.0449       0.0593       0.0494       0.0472
     96.5000       0.0505       0.0685       0.0467       0.0529
     96.6000       0.0460       0.0670       0.0443       0.0480
     96.7000       0.0450       0.0495       0.0453       0.0643
     96.8000       0.0507       0.0690       0.0515       0.0486
     96.9000       0.0476       0.0591       0.0523       0.0542
     97.0000       0.0466       0.0582       0.0456       0.0509
     97.1000       0.0608       0.0505       0.0462       0.0477
     97.2000       0.0564       0.0605       0.0501       0.0459
     97.3000       0.0569       0.0559       0.0500       0.0445
     97.4000       0.0490       0.0403       0.0460       0.0387
     97.5000       0.0466       0.0476       0.0475       0.0455
     97.6000       0.0511       0.0538       0.0509       0.0593
     97.7000       0.0523       0.0522       0.0550       0.0456
     97.8000       0.0551       0.0522       0.0521       0.0452
     97.9000       0.0472       0.0482       0.0452       0.0440
     98.0000       0.0560       0.0509       0.0484       0.0519
     98.1000       0.0543       0.0499       0.0492       0.0445
     98.2000       0.0574       0.0487       0.0517       0.0578
     98.3000       0.0416       0.0442       0.0536       0.0440
     98.4000       0.0478       0.0542       0.0491       0.0447
     98.5000       0.0435       0.0633       0.0583       0.0481
     98.6000       0.0476       0.0494       0.0565       0.0479
     98.7000       0.0593       0.0440       0.0602       0.0465
     98.8000       0.0462       0.0552       0.0450       0.0462
     98.9000       0.0480       0.0606       0.0486       0.0508
     99.0000       0.0518       0.0546       0.0492       0.0583
     99.1000       0.0512       0.0573       0.0510       0.0576
     99.2000       0.0574       0.0597       0.0638       0.0411
     99.3000       0.0577       0.0562       0.0439       0.0548
     99.4000       0.0459       0.0478       0.0465       0.0554
     99.5000       0.0451       0.0503       0.0528       0.0578
     99.6000       0.0462       0.0547       0.0517       0.0395
     99.7000       0.0507       0.0515       0.0563       0.0469
     99.8000       0.0606       0.0570       0.0457       0.0489
     99.9000       0.0536       0.0478       0.0481       0.0473
    100.0000       0.0566       0.0542       0.0468       0.0448
    100.1000       0.0438       0.0519       0.0518       0.0472
    100.2000       0.0535       0.0566       0.0505       0.0530
    100.3000       0.0504       0.0564       0.0489       0.0408
    100.4000       0.0666       0.0548       0.0521       0.0533
    100.5000       0.0489       0.0597       0.0503       0.0484
    100.6000       0.0462       0.0591       0.0558       0.0533
    100.7000       0.0477       0.0535       0.0530       0.0438
    100.8000       0.0469       0.0589       0.0475       0.0561
    100.9000       0.0455       0.0586       0.0483       0.0507
    101.0000       0.0622       0.0558       0.0528       0.0373
    101.1000       0.0652       0.0597       0.0536       0.0548
    101.2000       0.0357       0.0493       0.0487       0.0582
    101.3000       0.0499       0.0557       0.0489       0.0489
    101.4000       0.0551       0.0656       0.0499       0.0443
    101.5000       0.0458       0.0555       0.0533       0.0454
    101.6000       0.0474       0.0516       0.0497       0.0469
    101.7000       0.0460       0.0579       0.0479       0.0523
    101.8000       0.0460       0.0555       0.0527       0.0552
    101.9000       0.0524       0.0596       0.0419       0.0398
    102.0000       0.0501       0.0524       0.0562       0.0437
    102.1000       0.0510       0.0485       0.0541       0.0441
    102.2000       0.0456       0.0454       0.0454       0.0565
    102.3000       0.0417       0.0443       0.0520       0.0442
    102.4000       0.0516       0.0553       0.0526       0.0478
    102.5000       0.0546       0.0536       0.0524       0.0476
    102.6000       0.0521       0.0515       0.0664       0.0412
    102.7000       0.0506       0.0496       0.0412       0.0470
    102.8000       0.0469       0.0585       0.0506       0.0463
    102.9000       0.0510       0.0532       0.0482       0.0496
    103.0000       0.0534       0.0491       0.0508       0.0513
    103.1000       0.0461       0.0552       0.0498       0.0383
    103.2000       0.0596       0.0529       0.0569       0.0442
    103.3000       0.0433       0.0418       0.0467       0.0522
    103.4000       0.0470       0.0510       0.0426       0.0488
    103.5000       0.0480       0.0497       0.0567       0.0637
    103.6000       0.0451       0.0593       0.0535       0.0555
    103.7000       0.0513       0.0525       0.0463       0.0537
    103.8000       0.0554       0.0422       0.0504       0.0414
    103.9000       0.0460       0.0496       0.0477       0.0492
    104.0000       0.0469       0.0508       0.0613       0.0471
    104.1000       0.0479       0.0510       0.0473       0.0496
    104.2000       0.0477       0.0479       0.0522       0.0458
    104.3000       0.0573       0.0576       0.0484       0.0421
    104.4000       0.0428       0.0663       0.0595       0.0515
    104.5000       0.0497       0.0539       0.0529       0.0444
    104.6000       0.0501       0.0476       0.0464       0.0454
    104.7000       0.0537       0.0563       0.0443       0.0477
    104.8000       0.0656       0.0520       0.0472       0.0513
    104.9000       0.0535       0.0501       0.0567       0.0480
    105.0000       0.0531       0.0582       0.0577       0.0448
    105.1000       0.0532       0.0547       0.0486       0.0425
    105.2000       0.0453       0.0532       0.0429       0.0430
    105.3000       0.0557       0.0551       0.0475       0.0518
    105.4000       0.0462       0.0584       0.0567       0.0541
    105.5000       0.0395       0.0489       0.0577       0.0476
    105.6000       0.0460       0.0480       0.0474       0.0402
